time,open,high,low,close,volume,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_net_vol,foreign_net_val
2025-07-14,17.41,18.29,16.85,18.19,24797932,1668255.0,255900.0,31557378500.0,4791370000.0,1412355.0,26766008500.0
2025-07-15,18.33,18.56,17.96,17.96,16003821,132600.0,55100.0,2600925000.0,1087545000.0,77500.0,1513380000.0
2025-07-16,17.92,18.7,17.87,18.56,27199605,89600.0,1253300.0,1740610000.0,25123645000.0,-1163700.0,-23383035000.0
2025-07-17,18.66,19.81,18.52,19.35,29395180,711800.0,1533500.0,14605570000.0,31832395000.0,-821700.0,-17226825000.0
2025-07-18,19.58,20.28,18.98,19.03,27643305,486400.0,525500.0,10211950000.0,10958435000.0,-39100.0,-746485000.0
2025-07-21,19.12,19.31,18.47,18.52,21605878,2040900.0,914300.0,40921650000.0,18701195000.0,1126600.0,22220455000.0
2025-07-22,18.47,18.93,18.29,18.89,19102170,1258746.0,6330400.0,25194377300.0,126861765000.0,-5071654.0,-101667387700.0
2025-07-23,19.12,19.17,18.66,18.7,16181111,531700.0,1012200.0,10804840000.0,20610550000.0,-480500.0,-9805710000.0
2025-07-24,18.89,19.07,18.61,18.7,14880014,569600.0,1253500.0,11535595000.0,25502155000.0,-683900.0,-13966560000.0
2025-07-25,18.75,19.26,18.7,19.21,20516688,318400.0,1335877.0,6496675000.0,27441525800.0,-1017477.0,-20944850800.0
2025-07-28,19.49,20.55,19.49,20.55,44256158,1622000.0,613900.0,35689790000.0,13280750000.0,1008100.0,22409040000.0
2025-07-29,21.2,21.2,19.12,19.12,42216943,2713300.0,1467600.0,58770285000.0,32521355000.0,1245700.0,26248930000.0
2025-07-30,19.17,19.54,18.66,19.21,19173098,1240800.0,374345.0,25449670000.0,7748559250.0,866455.0,17701110750.0
2025-07-31,19.44,19.44,18.43,19.17,26121368,3048100.0,1921854.0,62000470000.0,39667417400.0,1126246.0,22333052600.0
2025-08-01,19.26,19.31,18.66,18.7,16913802,725500.0,1879400.0,14884940000.0,38573165000.0,-1153900.0,-23688225000.0
2025-08-04,18.9,19.25,18.75,19.2,11371662,214000.0,662100.0,4062250000.0,12651310000.0,-448100.0,-8589060000.0
2025-08-05,19.45,20.0,18.0,19.0,30364214,630900.0,2810500.0,11985635000.0,55144415000.0,-2179600.0,-43158780000.0
2025-08-06,19.1,19.5,19.0,19.5,11113391,748780.0,1214600.0,14394507000.0,23285950000.0,-465820.0,-8891443000.0
2025-08-07,19.85,20.0,19.6,19.95,17026520,675300.0,834508.0,13380415000.0,16549533000.0,-159208.0,-3169118000.0
2025-08-08,20.15,21.3,19.75,21.3,46953306,4469100.0,501200.0,92417080000.0,10196260000.0,3967900.0,82220820000.0
2025-08-11,22.2,22.75,22.2,22.7,37365857,681200.0,546416.0,15324675000.0,12364849200.0,134784.0,2959825800.0
2025-08-12,22.6,24.25,22.2,23.9,43425840,1121100.0,340100.0,25580780000.0,7872720000.0,781000.0,17708060000.0
2025-08-13,24.1,24.35,23.2,24.2,41299648,3674000.0,4366600.0,87229940000.0,104840815000.0,-692600.0,-17610875000.0
2025-08-14,24.4,25.0,23.75,24.55,31168340,2859223.0,819000.0,69122606600.0,19825915000.0,2040223.0,49296691600.0
2025-08-15,24.95,24.95,23.7,24.0,30630400,2322344.0,1166700.0,55910764000.0,28401660000.0,1155644.0,27509104000.0
2025-08-18,24.0,25.65,23.6,25.65,54449600,5743896.0,1211868.0,142166400800.0,29952913450.0,4532028.0,112213487350.0
2025-08-19,25.8,26.7,25.1,25.7,32141000,860260.0,1526633.0,22504059000.0,39835347750.0,-666373.0,-17331288750.0
2025-08-20,25.6,25.6,23.95,24.5,47116700,3668850.0,1566367.0,89608987850.0,39271837250.0,2102483.0,50337150600.0
2025-08-21,24.3,24.85,23.75,23.75,27668400,862600.0,2299770.0,20800350000.0,55587897000.0,-1437170.0,-34787547000.0
2025-08-22,23.3,24.9,22.15,24.0,51126900,7706600.0,2004318.0,177536580000.0,47911583500.0,5702282.0,129624996500.0
2025-08-25,24.35,24.5,23.0,23.2,18117900,998500.0,1552800.0,23529845000.0,37404735000.0,-554300.0,-13874890000.0
2025-08-26,23.0,24.4,22.9,24.4,22727200,1198500.0,847168.0,28195315000.0,19866698600.0,351332.0,8328616400.0
2025-08-27,24.55,25.8,24.3,24.55,41698300,975595.0,3382639.0,24765343000.0,85044803900.0,-2407044.0,-60279460900.0
2025-08-28,24.85,24.85,23.95,24.4,28246700,33400.0,2662040.0,813175000.0,64756890000.0,-2628640.0,-63943715000.0
2025-08-29,24.7,25.45,24.5,24.55,24762700,835974.0,1908900.0,20864903900.0,47878165000.0,-1072926.0,-27013261100.0
2025-09-03,24.0,26.25,23.8,26.25,55953700,5749500.0,1907481.0,143088090000.0,47598244900.0,3842019.0,95489845100.0
2025-09-04,26.6,27.1,26.0,26.0,19778800,143800.0,401434.0,3786040000.0,10650772100.0,-257634.0,-6864732100.0
2025-09-05,26.2,27.2,25.05,25.1,38670200,1730900.0,1167700.0,44871255000.0,30946320000.0,563200.0,13924935000.0
2025-09-08,24.9,25.15,23.4,23.4,46814800,1456800.0,3866550.0,35102340000.0,94412487500.0,-2409750.0,-59310147500.0
2025-09-09,23.5,23.8,22.95,23.65,21111600,368200.0,491760.0,8513770000.0,11564105000.0,-123560.0,-3050335000.0
